"age","anxiety","anxiety_r","artgluctot","attachhome","attachphone","AvgHumidity","avgtemp","avoidance","avoidance_r","cigs","didf","eatdrink","eot","exercise","gluctot","health","hiTemp","kamf","langfamily","language","mintemp","monogamous","networksize","nostalgia","onlineid","riskAvd","romantic","scontrol","sex","Site","smoke","socialdiversity","socialembedded","socTherm","soliTherm","stress"
1951,1.77777777777778,-0.77359468170929,0,3.22222222222222,2.66666666666667,59,35.6,4.11111111111111,0.822079141103738,NA,1.90909090909091,1,2,2,0,4,3.14285714285714,2.28571428571429,1,1,2,7,28,31,1.09090909090909,3.66666666666667,1,41,1,"Bamberg",2,7,3,2.4,2.75,32
1958,3.22222222222222,0.233277061349762,0,2.33333333333333,1.44444444444444,89,36.8,2.33333333333333,-0.657003008351984,NA,1,1,2.4,2,0,3,1.28571428571429,1,1,1,9,5,17,24,1.81818181818182,1.66666666666667,2,36,2,"Bamberg",2,5,2,1.8,1.75,44
1959,5.44444444444444,1.78231051220984,0,4,2,68,36.2,2.66666666666667,-0.379675105329036,NA,2.09090909090909,1,2.2,2,7,2,2.14285714285714,3.28571428571429,1,1,10,5,7,30,2.72727272727273,2,2,31,1,"Bamberg",2,4,1,3,3.125,51
1959,3.61111111111111,0.504357915250276,0,4.44444444444444,1.11111111111111,90,36.25,2.27777777777778,-0.703224325522475,NA,2.54545454545455,1,2.4,2,13,4,3.28571428571429,3.42857142857143,1,1,-2,6,31,26,1.27272727272727,2.66666666666667,1,40,1,"Bamberg",2,9,3,2.4,3.375,45
1959,2.27777777777778,-0.425062155265772,0,4.11111111111111,2,86,38.4,2.44444444444444,-0.564560374011001,NA,1.18181818181818,1,2.2,2,0,4,3.14285714285714,3.28571428571429,1,1,0,7,23,22,1.72727272727273,2.66666666666667,1,43,1,"Bamberg",2,6,5,3.4,3.375,42
1960,1.22222222222222,-1.16085304442431,0,4.33333333333333,1.77777777777778,80,36.05,2.94444444444444,-0.148568519476579,NA,2.18181818181818,1,2.2,2,1,3,3.85714285714286,4.85714285714286,1,1,6,6,14,20,1.45454545454545,1,1,42,2,"Bamberg",2,5,2,2.6,1.75,39
1960,2.66666666666667,-0.153981301365258,0,3.88888888888889,2,79,36.5,2.72222222222222,-0.333453788158544,20,2.27272727272727,1,2.4,2,1,2,2.42857142857143,2.71428571428571,1,1,-4,7,13,29,2.36363636363636,2.66666666666667,1,44,2,"Bamberg",1,5,3,3.4,3,31
1963,3.33333333333333,0.310728733892766,0,4.77777777777778,2,73,36.45,3.16666666666667,0.0363167492053859,NA,1.45454545454545,1,1.4,2,2,3,2.85714285714286,4,1,1,-1,6,11,12,1.90909090909091,2,1,45,1,"Bamberg",2,7,2,2.6,3.125,33
1967,3.16666666666667,0.19455122507826,2,4.44444444444444,3.11111111111111,46,36,4.05555555555556,0.775857823933247,NA,3.27272727272727,1,2,2,0,3,1.71428571428571,3.85714285714286,1,1,5,5,18,36,1.90909090909091,2.66666666666667,1,39,2,"Bamberg",2,5,2,3,2.875,39
1968,3.16666666666667,0.19455122507826,1,4.66666666666667,2.33333333333333,90,36.35,2.94444444444444,-0.148568519476579,NA,1.45454545454545,1,1.2,2,8,4,2,4.42857142857143,1,1,1,6,54,19,2.81818181818182,1.66666666666667,1,45,2,"Bamberg",2,10,7,2.4,3.375,34
1970,2.38888888888889,-0.347610482722768,0,4.66666666666667,1.88888888888889,76,36.7,2.72222222222222,-0.333453788158544,NA,2.09090909090909,1,1.4,2,3,4,4,5.85714285714286,1,1,-3,7,22,21,2.18181818181818,3.33333333333333,1,59,2,"Bamberg",2,8,3,3.4,3.875,28
1975,1.22222222222222,-1.16085304442431,0,3.11111111111111,1.77777777777778,73,36.55,5.27777777777778,1.79272680168406,NA,3.27272727272727,1,2.4,2,10,3,1.57142857142857,5,1,1,1,7,21,18,1.36363636363636,3,1,39,2,"Bamberg",2,8,3,2.8,3.75,39
1976,1.44444444444444,-1.0059496993383,0,4.66666666666667,1.44444444444444,69,36.1,2.22222222222222,-0.749445642692966,10,1.90909090909091,1,2.2,2,8,5,1.85714285714286,5,1,1,-1,6,29,23,1.09090909090909,2,1,54,2,"Bamberg",1,9,3,4,4.5,30
1976,4,0.77543876915079,0,3.44444444444444,2.66666666666667,91,36.55,4.44444444444444,1.09940704412669,NA,1.63636363636364,1,2,2,3,4,2.14285714285714,3.71428571428571,1,1,4,6,28,33,3.81818181818182,2,1,33,1,"Bamberg",2,8,3,3.2,3.125,47
1977,4.33333333333333,1.0077937867798,0,5,2.33333333333333,79,35.1,2.16666666666667,-0.795666959863458,15,1.63636363636364,1,2.8,2,3,4,2.28571428571429,2.57142857142857,1,1,-2,4,44,11,2.45454545454545,3.33333333333333,1,46,2,"Bamberg",1,9,5,2,2.5,41
1985,1.77777777777778,-0.77359468170929,1,4,2.22222222222222,79,36.055,5.05555555555556,1.60784153300209,NA,4.27272727272727,1,2.6,2,0,5,3.85714285714286,5.14285714285714,1,1,9,7,33,17,2.54545454545455,2.66666666666667,1,30,1,"Bamberg",2,11,3,1.8,2.125,54
1988,1.72222222222222,-0.812320517980792,0,3.77777777777778,1,87,35.55,3.22222222222222,0.0825380663758774,NA,2.45454545454545,1,3,2,1,4,3.71428571428571,4.14285714285714,1,1,1,7,31,35,1.45454545454545,3,1,54,1,"Bamberg",2,7,4,3,3.625,28
