Label,RT_sec
1,0.753
1,0.818
1,0.917
1,0.717
1,0.988
1,0.95
1,0.657
1,0.829
1,1.143
1,0.756
1,0.665
1,0.846
1,0.839
1,0.914
1,0.712
1,1.33
1,0.786
1,0.626
1,0.912
1,0.725
1,0.956
1,0.485
1,1.417
1,0.604
1,0.789
1,1.327
1,1.357
1,0.635
1,0.871
1,1.287
1,0.739
1,1.331
1,0.907
1,1.015
1,1.125
1,0.868
1,0.582
1,1.233
1,1.03
1,0.791
1,1.028
1,0.918
1,0.793
1,0.909
1,0.646
1,0.467
1,0.843
1,0.61
1,0.972
1,0.851
1,1.208
1,0.473
1,0.407
1,1.416
1,1.164
1,0.605
1,1.071
1,0.425
1,0.634
1,0.393
1,1.02
1,0.414
1,0.698
0,0.6
0,0.757
0,0.871
0,0.809
0,0.829
0,0.877
0,0.67
0,0.766
0,0.58
0,0.658
0,0.739
0,0.976
0,0.692
0,0.665
0,0.819
0,0.832
0,0.672
0,0.638
0,0.524
0,0.78
0,0.539
0,0.543
0,0.68
0,0.889
0,0.529
0,0.604
0,0.713
0,0.798
0,1.034
0,0.726
0,0.788
0,0.741
0,0.686
0,0.421
0,0.648
0,0.432
0,1.127
0,0.544
0,0.831
0,0.627
0,0.373
0,0.818
