"subject","blkNum","trlNum","coherentDots","numberofDots","percentCoherence","winningDirection","response","correct","eventCount","averageFrameRate","RT"
31727,2,1,4,40,10,"right","right",1,51,14.452,3529
31727,2,2,16,40,40,"left","right",0,32,14.273,2242
31727,2,3,2,40,5,"left","right",0,15,15.322,979
31727,2,4,16,40,40,"left","left",1,65,14.361,4526
31727,2,5,0,40,0,"left","left",1,105,14.214,7387
31727,2,6,0,40,0,"left","right",0,73,14.364,5082
31727,2,7,4,40,10,"right","right",1,48,14.307,3355
31727,2,8,4,40,10,"right","right",1,31,14.472,2142
31727,2,9,16,40,40,"right","right",1,17,14.978,1135
31727,2,10,4,40,10,"right","right",1,16,15.166,1055
31727,2,11,16,40,40,"left","left",1,23,14.887,1545
31727,2,12,0,40,0,"left","right",0,125,14.26,8766
31727,2,13,4,40,10,"left","left",1,87,14.305,6082
31727,2,14,0,40,0,"left","right",0,32,14.659,2183
31727,2,15,16,40,40,"right","right",1,26,14.525,1790
31727,3,1,16,40,40,"left","left",1,34,14.334,2372
31727,3,2,16,40,40,"right","right",1,17,14.286,1190
31727,3,3,16,40,40,"left","left",1,14,14.433,970
31727,3,4,4,40,10,"left","left",1,17,14.63,1162
31727,3,5,0,40,0,"right","left",0,18,14.73,1222
31727,3,6,16,40,40,"right","right",1,14,15.086,928
31727,3,7,4,40,10,"right","right",1,37,14.247,2597
31727,3,8,2,40,5,"left","right",0,40,14.276,2802
31727,3,9,0,40,0,"right","right",1,13,15.276,851
31727,3,10,2,40,5,"right","right",1,24,14.303,1678
31727,3,11,0,40,0,"right","right",1,19,14.383,1321
31727,3,12,0,40,0,"right","right",1,14,14.344,976
31727,3,13,4,40,10,"right","right",1,20,14.663,1364
31727,3,14,2,40,5,"right","right",1,19,14.559,1305
31727,3,15,4,40,10,"left","right",0,18,14.297,1259
31727,3,16,2,40,5,"right","left",0,25,14.451,1730
31727,3,17,0,40,0,"left","left",1,47,14.435,3256
31727,3,18,2,40,5,"left","left",1,33,14.329,2303
31727,3,19,2,40,5,"left","left",1,81,14.213,5699
31727,3,20,16,40,40,"right","right",1,29,14.349,2021
31727,3,21,2,40,5,"left","right",0,39,14.254,2736
31727,3,22,16,40,40,"right","right",1,12,15.209,789
31727,3,23,0,40,0,"left","left",1,43,14.503,2965
31727,3,24,0,40,0,"right","left",0,114,14.288,7979
31727,4,1,4,40,10,"right","right",1,49,14.332,3419
31727,4,2,16,40,40,"right","right",1,12,14.32,838
31727,4,3,16,40,40,"right","right",1,15,14.778,1015
31727,4,4,0,40,0,"left","left",1,85,14.221,5977
31727,4,5,4,40,10,"left","left",1,31,14.466,2143
31727,4,6,0,40,0,"right","left",0,41,14.442,2839
31727,4,7,2,40,5,"left","right",0,31,14.636,2118
31727,4,8,16,40,40,"right","right",1,12,14.87,807
31727,4,9,0,40,0,"left","left",1,72,14.249,5053
31727,4,10,16,40,40,"right","right",1,24,14.449,1661
31727,4,11,2,40,5,"right","right",1,21,14.768,1422
31727,4,12,4,40,10,"left","right",0,16,14.612,1095
31727,4,13,0,40,0,"left","right",0,17,14.493,1173
31727,4,14,16,40,40,"right","right",1,11,14.905,738
31727,4,15,16,40,40,"right","right",1,17,15.044,1130
31727,4,16,0,40,0,"left","right",0,19,14.515,1309
31727,4,17,0,40,0,"right","right",1,13,14.739,882
31727,4,18,2,40,5,"right","right",1,79,14.371,5497
31727,4,19,0,40,0,"right","left",0,37,14.459,2559
31727,4,20,4,40,10,"left","right",0,51,14.46,3527
31727,4,21,16,40,40,"right","right",1,14,14.675,954
31727,4,22,0,40,0,"right","right",1,80,14.316,5588
31727,5,1,2,40,5,"right","right",1,31,14.506,2137
31727,5,2,16,40,40,"right","right",1,11,15.172,725
31727,5,3,16,40,40,"right","right",1,12,15.209,789
31727,5,4,4,40,10,"right","left",0,16,15.08,1061
31727,5,5,0,40,0,"right","left",0,19,14.449,1315
31727,5,6,2,40,5,"right","left",0,29,14.751,1966
