"subject","blkNum","trlNum","coherentDots","numberofDots","percentCoherence","winningDirection","response","correct","eventCount","averageFrameRate","RT"
82111,2,2,2,40,5,"right","right",1,30,15.167,1978
82111,2,3,2,40,5,"left","left",1,23,15.416,1492
82111,2,15,2,40,5,"left","left",1,20,15.848,1262
82111,2,26,2,40,5,"left","right",0,66,15.285,4318
82111,2,28,2,40,5,"left","right",0,69,15.286,4514
82111,3,1,2,40,5,"right","right",1,84,15.198,5527
82111,3,3,2,40,5,"left","left",1,47,15.385,3055
82111,3,8,2,40,5,"left","right",0,34,15.511,2192
82111,3,12,2,40,5,"right","left",0,37,15.334,2413
82111,3,15,2,40,5,"left","left",1,33,15.478,2132
82111,4,1,2,40,5,"right","right",1,48,15.394,3118
82111,4,2,2,40,5,"left","right",0,28,15.59,1796
82111,4,5,2,40,5,"left","right",0,21,15.637,1343
82111,4,18,2,40,5,"left","left",1,39,15.217,2563
82111,4,21,2,40,5,"left","left",1,42,15.289,2747
82111,4,23,2,40,5,"right","right",1,17,15.625,1088
82111,4,25,2,40,5,"right","right",1,18,15.943,1129
82111,5,2,2,40,5,"left","left",1,18,15.598,1154
82111,5,9,2,40,5,"right","right",1,18,15.831,1137
82111,5,14,2,40,5,"right","left",0,18,15.639,1151
82111,5,24,2,40,5,"right","right",1,49,15.404,3181
82111,6,3,2,40,5,"left","left",1,25,15.567,1606
82111,6,6,2,40,5,"right","right",1,48,15.399,3117
82111,6,10,2,40,5,"right","right",1,27,15.341,1760
82111,6,13,2,40,5,"left","left",1,13,16.109,807
82111,6,14,2,40,5,"right","left",0,41,15.23,2692
82111,6,15,2,40,5,"left","right",0,24,15.605,1538
82111,6,16,2,40,5,"right","left",0,19,15.498,1226
82111,7,5,2,40,5,"right","left",0,15,15.74,953
82111,7,13,2,40,5,"right","right",1,35,15.158,2309
82111,7,14,2,40,5,"left","left",1,29,15.183,1910
82111,7,35,2,40,5,"right","right",1,24,15.554,1543
82111,7,38,2,40,5,"left","left",1,7,15.419,454
82111,8,1,2,40,5,"left","right",0,33,15.158,2177
82111,8,3,2,40,5,"right","left",0,12,15.171,791
82111,8,5,2,40,5,"right","left",0,10,15.106,662
82111,8,8,2,40,5,"right","right",1,16,15.414,1038
82111,8,10,2,40,5,"left","right",0,24,15.615,1537
82111,8,13,2,40,5,"right","right",1,15,15.625,960
82111,8,14,2,40,5,"left","left",1,40,15.302,2614
82111,8,15,2,40,5,"right","left",0,30,15.56,1928
82111,8,20,2,40,5,"left","left",1,17,15.799,1076
82111,8,25,2,40,5,"left","left",1,15,15.385,975
82111,9,3,2,40,5,"left","right",0,13,16.03,811
82111,9,5,2,40,5,"right","right",1,59,15.194,3883
82111,9,7,2,40,5,"left","right",0,12,15.209,789
82111,9,10,2,40,5,"left","left",1,14,15.573,899
82111,9,23,2,40,5,"right","right",1,21,15.475,1357
82111,9,24,2,40,5,"left","right",0,19,15.298,1242
82111,9,27,2,40,5,"right","right",1,12,16.043,748
82111,9,28,2,40,5,"right","left",0,21,15.498,1355
82111,10,2,2,40,5,"right","right",1,11,15.515,709
82111,10,5,2,40,5,"right","right",1,15,15.4,974
82111,10,6,2,40,5,"right","right",1,13,15.458,841
82111,10,8,2,40,5,"right","left",0,20,15.54,1287
82111,10,10,2,40,5,"right","right",1,17,15.582,1091
82111,10,12,2,40,5,"left","right",0,13,16.109,807
82111,10,15,2,40,5,"right","right",1,27,15.194,1777
82111,10,17,2,40,5,"right","right",1,40,15.408,2596
82111,10,18,2,40,5,"right","left",0,34,15.483,2196
82111,10,20,2,40,5,"left","right",0,29,15.458,1876
82111,10,21,2,40,5,"right","left",0,20,15.528,1288
82111,11,1,2,40,5,"right","right",1,32,15.466,2069
82111,11,2,2,40,5,"right","left",0,11,15.625,704
82111,11,19,2,40,5,"left","right",0,27,15.323,1762
82111,11,22,2,40,5,"right","right",1,14,16.018,874
82111,11,29,2,40,5,"left","left",1,9,15.203,592
82111,11,31,2,40,5,"left","left",1,9,15.873,567
82111,11,35,2,40,5,"left","left",1,8,15.779,507
82111,11,38,2,40,5,"left","left",1,23,15.426,1491
82111,11,39,2,40,5,"left","left",1,10,16.129,620
82111,12,2,2,40,5,"left","right",0,17,15.625,1088
82111,12,4,2,40,5,"right","left",0,11,15.515,709
82111,12,6,2,40,5,"right","left",0,18,15.734,1144
82111,12,14,2,40,5,"right","right",1,30,15.159,1979
82111,12,21,2,40,5,"left","left",1,10,15.244,656
82111,12,32,2,40,5,"left","right",0,30,15.283,1963
82111,12,33,2,40,5,"left","right",0,11,15.342,717
82111,12,36,2,40,5,"right","right",1,28,15.326,1827
82111,12,37,2,40,5,"left","right",0,25,15.423,1621
82111,13,2,2,40,5,"right","right",1,10,15.798,633
82111,13,5,2,40,5,"right","right",1,18,15.319,1175
82111,13,7,2,40,5,"left","left",1,21,15.59,1347
82111,13,21,2,40,5,"left","left",1,16,15.166,1055
82111,13,24,2,40,5,"left","right",0,25,15.538,1609
82111,13,25,2,40,5,"right","right",1,43,15.216,2826
82111,14,1,2,40,5,"right","right",1,27,15.464,1746
82111,14,3,2,40,5,"left","right",0,30,15.283,1963
82111,14,15,2,40,5,"right","right",1,15,15.674,957
82111,14,17,2,40,5,"right","right",1,13,16.069,809
82111,14,20,2,40,5,"right","right",1,33,15.442,2137
82111,14,24,2,40,5,"right","right",1,17,15.697,1083
82111,14,25,2,40,5,"left","right",0,16,15.671,1021
82111,14,28,2,40,5,"right","right",1,17,15.568,1092
82111,14,33,2,40,5,"left","left",1,10,16.129,620
82111,14,35,2,40,5,"left","left",1,11,15.581,706
82111,15,3,2,40,5,"left","left",1,10,16.393,610
82111,15,4,2,40,5,"left","left",1,9,15.845,568
82111,15,10,2,40,5,"right","left",0,16,15.37,1041
82111,15,11,2,40,5,"left","left",1,49,15.351,3192
82111,15,16,2,40,5,"left","left",1,14,15.504,903
82111,15,17,2,40,5,"left","left",1,15,15.152,990
82111,15,26,2,40,5,"right","left",0,15,15.593,962
82111,15,28,2,40,5,"left","right",0,11,16.012,687
82111,15,30,2,40,5,"right","left",0,14,15.801,886
82111,16,4,2,40,5,"right","right",1,10,15.221,657
82111,16,7,2,40,5,"right","right",1,9,16.605,542
82111,16,22,2,40,5,"left","left",1,23,15.447,1489
82111,16,25,2,40,5,"right","left",0,14,15.855,883
82111,16,26,2,40,5,"right","right",1,18,15.345,1173
82111,16,28,2,40,5,"right","right",1,43,15.308,2809
82111,16,29,2,40,5,"right","left",0,11,15.965,689
82111,16,30,2,40,5,"right","right",1,24,15.385,1560
82111,16,35,2,40,5,"right","right",1,15,15.4,974
82111,16,36,2,40,5,"left","right",0,12,15.19,790
82111,17,11,2,40,5,"right","left",0,10,15.649,639
82111,17,14,2,40,5,"right","left",0,14,16.055,872
82111,17,17,2,40,5,"right","left",0,22,15.782,1394
82111,17,24,2,40,5,"right","left",0,6,16.949,354
82111,17,25,2,40,5,"right","right",1,9,15.358,586
82111,17,27,2,40,5,"left","right",0,9,16.544,544
82111,17,32,2,40,5,"right","right",1,22,15.559,1414
82111,17,34,2,40,5,"left","right",0,12,15.228,788
82111,17,36,2,40,5,"right","right",1,4,10.724,373
82111,17,38,2,40,5,"right","right",1,7,15.184,461
82111,18,1,2,40,5,"right","right",1,42,15.407,2726
82111,18,6,2,40,5,"right","left",0,6,14.963,401
82111,18,9,2,40,5,"right","left",0,11,15.214,723
82111,18,12,2,40,5,"right","right",1,12,15.831,758
82111,18,16,2,40,5,"right","right",1,10,16.129,620
82111,18,22,2,40,5,"right","right",1,10,16.077,622
82111,18,24,2,40,5,"right","left",0,8,15.779,507
82111,18,29,2,40,5,"left","left",1,13,15.169,857
82111,18,36,2,40,5,"left","left",1,8,16.194,494
82111,18,37,2,40,5,"left","left",1,21,15.498,1355
82111,18,43,2,40,5,"right","right",1,11,16.541,665
82111,19,3,2,40,5,"left","right",0,8,15.779,507
82111,19,7,2,40,5,"left","right",0,7,16.279,430
82111,19,9,2,40,5,"right","right",1,11,15.214,723
82111,19,12,2,40,5,"left","right",0,8,15.385,520
82111,19,15,2,40,5,"right","right",1,13,15.476,840
82111,19,16,2,40,5,"right","left",0,13,15.588,834
82111,19,21,2,40,5,"right","left",0,25,15.586,1604
82111,19,27,2,40,5,"right","right",1,9,15.625,576
82111,19,29,2,40,5,"right","left",0,16,15.81,1012
82111,19,31,2,40,5,"right","right",1,32,15.289,2093
82111,19,35,2,40,5,"right","left",0,11,15.625,704
82111,20,1,2,40,5,"left","right",0,26,15.196,1711
82111,20,16,2,40,5,"right","right",1,10,15.924,628
82111,20,17,2,40,5,"left","left",1,20,15.835,1263
82111,20,27,2,40,5,"right","right",1,13,15.777,824
82111,20,29,2,40,5,"left","left",1,9,15.625,576
82111,20,38,2,40,5,"right","left",0,16,15.625,1024
82111,20,39,2,40,5,"right","right",1,9,16.605,542
82111,20,40,2,40,5,"right","right",1,28,15.436,1814
82111,21,3,2,40,5,"left","right",0,23,15.7,1465
82111,21,8,2,40,5,"right","left",0,13,15.152,858
82111,21,10,2,40,5,"left","right",0,20,15.468,1293
82111,21,13,2,40,5,"right","left",0,25,15.366,1627
82111,21,22,2,40,5,"right","right",1,7,16.746,418
82111,21,24,2,40,5,"left","left",1,9,15.762,571
82111,21,26,2,40,5,"left","left",1,11,15.85,694
82111,21,29,2,40,5,"left","left",1,12,15.464,776
82111,21,35,2,40,5,"left","right",0,10,16.234,616
82111,21,40,2,40,5,"right","left",0,13,15.625,832
82111,22,3,2,40,5,"left","left",1,9,15.652,575
82111,22,7,2,40,5,"left","left",1,10,15.699,637
82111,22,14,2,40,5,"right","right",1,12,15.748,762
82111,22,20,2,40,5,"left","right",0,9,15.679,574
82111,22,29,2,40,5,"right","right",1,8,15.968,501
82111,22,34,2,40,5,"right","right",1,17,15.918,1068
82111,22,35,2,40,5,"right","right",1,12,15.424,778
82111,22,36,2,40,5,"right","right",1,11,15.759,698
82111,22,39,2,40,5,"left","right",0,25,15.356,1628
82111,22,42,2,40,5,"right","right",1,39,15.501,2516
82111,23,5,2,40,5,"left","right",0,11,15.896,692
82111,23,7,2,40,5,"left","left",1,35,15.358,2279
82111,23,8,2,40,5,"left","left",1,32,15.519,2062
82111,23,18,2,40,5,"left","left",1,11,15.805,696
82111,23,30,2,40,5,"right","right",1,12,15.873,756
82111,24,17,2,40,5,"right","left",0,9,16.129,558
82111,24,20,2,40,5,"left","right",0,15,15.789,950
82111,24,21,2,40,5,"left","left",1,22,15.57,1413
82111,24,23,2,40,5,"left","left",1,17,15.554,1093
82111,24,31,2,40,5,"right","right",1,13,15.99,813
82111,24,43,2,40,5,"right","left",0,8,15.326,522
82111,24,44,2,40,5,"left","left",1,7,15.909,440
82111,24,45,2,40,5,"right","right",1,8,15.296,523
82111,25,4,2,40,5,"right","right",1,13,15.644,831
82111,25,8,2,40,5,"right","left",0,16,16.048,997
82111,25,11,2,40,5,"left","left",1,10,15.244,656
82111,25,12,2,40,5,"left","right",0,10,16.393,610
82111,25,13,2,40,5,"right","right",1,10,15.625,640
82111,25,17,2,40,5,"left","right",0,8,15.779,507
82111,25,19,2,40,5,"right","left",0,21,15.613,1345
82111,25,28,2,40,5,"right","left",0,25,15.499,1613
82111,25,31,2,40,5,"right","right",1,9,16.216,555
82111,25,36,2,40,5,"left","left",1,10,16.207,617
82111,25,38,2,40,5,"right","left",0,7,16.432,426
82111,26,1,2,40,5,"left","right",0,46,15.187,3029
82111,26,9,2,40,5,"left","left",1,14,15.964,877
82111,26,13,2,40,5,"right","left",0,8,15.81,506
82111,26,22,2,40,5,"right","right",1,10,15.456,647
82111,26,26,2,40,5,"right","right",1,14,15.801,886
82111,26,27,2,40,5,"right","right",1,9,15.679,574
82111,26,28,2,40,5,"left","right",0,9,15.254,590
82111,26,39,2,40,5,"right","right",1,15,15.496,968
82111,26,41,2,40,5,"left","right",0,15,15.152,990
82111,26,42,2,40,5,"right","right",1,15,15.152,990
82111,27,2,2,40,5,"right","right",1,11,16.2,679
