worker_id,condition,rt,correct
s001,congruent,725.574074074074,1.0
s001,incongruent,861.0,1.0
s002,congruent,698.561403508772,1.0
s002,incongruent,809.5272727272727,1.0
s003,congruent,568.6333333333333,1.0
s003,incongruent,657.6379310344828,1.0
s004,congruent,716.3666666666667,1.0
s004,incongruent,823.4333333333333,1.0
s005,congruent,555.7166666666667,1.0
s005,incongruent,618.2542372881356,1.0
s006,congruent,743.4285714285714,1.0
s006,incongruent,836.5471698113207,1.0
s007,congruent,961.1454545454545,1.0
s007,incongruent,1030.5208333333333,1.0
s008,congruent,645.0862068965517,1.0
s008,incongruent,761.3333333333334,1.0
s009,congruent,727.6724137931035,1.0
s009,incongruent,838.4237288135594,1.0
s010,congruent,618.5666666666667,1.0
s010,incongruent,760.925925925926,1.0
s011,congruent,569.4333333333333,1.0
s011,incongruent,727.6271186440678,1.0
s012,congruent,756.6206896551724,1.0
s012,incongruent,907.8392857142857,1.0
s013,congruent,695.6949152542373,1.0
s013,incongruent,945.709090909091,1.0
s014,congruent,651.7118644067797,1.0
s014,incongruent,803.0172413793103,1.0
s015,congruent,641.0877192982456,1.0
s015,incongruent,802.8545454545455,1.0
s016,congruent,601.2833333333333,1.0
s016,incongruent,753.96,1.0
s017,congruent,666.0344827586207,1.0
s017,incongruent,890.2456140350877,1.0
s018,congruent,553.3559322033898,1.0
s018,incongruent,715.5254237288135,1.0
s019,congruent,715.9322033898305,1.0
s019,incongruent,923.4285714285714,1.0
s020,congruent,688.5964912280701,1.0
s020,incongruent,828.0,1.0
s021,congruent,953.4909090909091,1.0
s021,incongruent,1151.0263157894738,1.0
s023,congruent,636.2666666666667,1.0
s023,incongruent,729.5263157894736,1.0
s025,congruent,711.2,1.0
s025,incongruent,945.3684210526316,1.0
s026,congruent,592.8983050847457,1.0
s026,incongruent,693.3559322033898,1.0
s027,congruent,599.7796610169491,1.0
s027,incongruent,728.6833333333333,1.0
s028,congruent,610.7666666666667,1.0
s028,incongruent,653.1,1.0
s029,congruent,655.7857142857143,1.0
s029,incongruent,783.86,1.0
s030,congruent,622.6949152542373,1.0
s030,incongruent,764.2758620689655,1.0
s031,congruent,679.2033898305085,1.0
s031,incongruent,842.574074074074,1.0
s032,congruent,598.1,1.0
s032,incongruent,734.8474576271186,1.0
s033,congruent,906.2166666666667,1.0
s033,incongruent,1014.9607843137255,1.0
s034,congruent,654.7241379310345,1.0
s034,incongruent,819.8727272727273,1.0
s035,congruent,693.0172413793103,1.0
s035,incongruent,741.9491525423729,1.0
s036,congruent,589.290909090909,1.0
s036,incongruent,657.3103448275862,1.0
s037,congruent,596.425925925926,1.0
s037,incongruent,628.4255319148937,1.0
s038,congruent,535.3389830508474,1.0
s038,incongruent,610.0526315789474,1.0
s039,congruent,609.542372881356,1.0
s039,incongruent,759.9090909090909,1.0
s040,congruent,523.6833333333333,1.0
s040,incongruent,787.0555555555555,1.0
s041,congruent,691.5084745762712,1.0
s041,incongruent,779.2833333333333,1.0
s042,congruent,684.4833333333333,1.0
s042,incongruent,818.140350877193,1.0
s043,congruent,746.5636363636364,1.0
s043,incongruent,880.574074074074,1.0
s044,congruent,872.0,1.0
s044,incongruent,976.2641509433962,1.0
s046,congruent,678.1186440677966,1.0
s046,incongruent,806.3928571428571,1.0
s047,congruent,618.438596491228,1.0
s047,incongruent,751.7291666666666,1.0
s048,congruent,593.859649122807,1.0
s048,incongruent,629.4464285714286,1.0
s049,congruent,694.948275862069,1.0
s049,incongruent,737.0508474576271,1.0
s051,congruent,649.3508771929825,1.0
s051,incongruent,720.1666666666666,1.0
s052,congruent,618.45,1.0
s052,incongruent,755.1694915254237,1.0
s053,congruent,651.1864406779661,1.0
s053,incongruent,782.4406779661017,1.0
s054,congruent,684.271186440678,1.0
s054,incongruent,803.6315789473684,1.0
