worker_id,rt_congruent,rt_incongruent,acc_congruent,acc_incongruent
s001,1.0,1.0,725.574074074074,861.0
s002,1.0,1.0,698.561403508772,809.5272727272727
s003,1.0,1.0,568.6333333333333,657.6379310344828
s004,1.0,1.0,716.3666666666667,823.4333333333333
s005,1.0,1.0,555.7166666666667,618.2542372881356
s006,1.0,1.0,743.4285714285714,836.5471698113207
s007,1.0,1.0,961.1454545454545,1030.5208333333333
s008,1.0,1.0,645.0862068965517,761.3333333333334
s009,1.0,1.0,727.6724137931035,838.4237288135594
s010,1.0,1.0,618.5666666666667,760.925925925926
s011,1.0,1.0,569.4333333333333,727.6271186440678
s012,1.0,1.0,756.6206896551724,907.8392857142857
s013,1.0,1.0,695.6949152542373,945.709090909091
s014,1.0,1.0,651.7118644067797,803.0172413793103
s015,1.0,1.0,641.0877192982456,802.8545454545455
s016,1.0,1.0,601.2833333333333,753.96
s017,1.0,1.0,666.0344827586207,890.2456140350877
s018,1.0,1.0,553.3559322033898,715.5254237288135
s019,1.0,1.0,715.9322033898305,923.4285714285714
s020,1.0,1.0,688.5964912280701,828.0
s021,1.0,1.0,953.4909090909091,1151.0263157894738
s023,1.0,1.0,636.2666666666667,729.5263157894736
s025,1.0,1.0,711.2,945.3684210526316
s026,1.0,1.0,592.8983050847457,693.3559322033898
s027,1.0,1.0,599.7796610169491,728.6833333333333
s028,1.0,1.0,610.7666666666667,653.1
s029,1.0,1.0,655.7857142857143,783.86
s030,1.0,1.0,622.6949152542373,764.2758620689655
s031,1.0,1.0,679.2033898305085,842.574074074074
s032,1.0,1.0,598.1,734.8474576271186
s033,1.0,1.0,906.2166666666667,1014.9607843137255
s034,1.0,1.0,654.7241379310345,819.8727272727273
s035,1.0,1.0,693.0172413793103,741.9491525423729
s036,1.0,1.0,589.290909090909,657.3103448275862
s037,1.0,1.0,596.425925925926,628.4255319148937
s038,1.0,1.0,535.3389830508474,610.0526315789474
s039,1.0,1.0,609.542372881356,759.9090909090909
s040,1.0,1.0,523.6833333333333,787.0555555555555
s041,1.0,1.0,691.5084745762712,779.2833333333333
s042,1.0,1.0,684.4833333333333,818.140350877193
s043,1.0,1.0,746.5636363636364,880.574074074074
s044,1.0,1.0,872.0,976.2641509433962
s046,1.0,1.0,678.1186440677966,806.3928571428571
s047,1.0,1.0,618.438596491228,751.7291666666666
s048,1.0,1.0,593.859649122807,629.4464285714286
s049,1.0,1.0,694.948275862069,737.0508474576271
s051,1.0,1.0,649.3508771929825,720.1666666666666
s052,1.0,1.0,618.45,755.1694915254237
s053,1.0,1.0,651.1864406779661,782.4406779661017
